1,BB MKR - BKI,https://strava.app.link/fteK09vDmEb,"kabel Turun sepanjang ±100 m atau 2 gawang, fixing slack nya jatoh dan ngebelit ke kabel
- kabel lepas dari fixing slack dan posisinya ada di bawah pan lampu merah dawuan",sudah diperbaiki,2023-11-01
2,Jalur BB Tegar Beriman,https://strava.app.link/zuy8T0EDmEb,Tidak ada temuan,Tidak ada,2023-11-01
3,AKSES BTS PASAR CIKAMPEK,https://strava.app.link/3ZHxNAmHmEb,Tidak ada temuan,Tidak ada,2023-11-01
4,Akses Polres Cibinong,https://strava.app.link/cx8Eqv2HmEb,Tidak ada temuan,Tidak ada,2023-11-01
5,Akses Bank BJB Cibinong,https://strava.app.link/v26wcgIMmEb,Tidak ada temuan,Tidak ada,2023-11-01
6,AKSES BTS PUPUK KUJANG,https://strava.app.link/66G3aXCNmEb,Tidak ada temuan,Tidak ada,2023-11-01
7,Pasar Cibinong - ITC,https://strava.app.link/x7vePUyPmEb,Tidak ada temuan,Tidak ada,2023-11-01
8,AKSES BTS KM64,https://strava.app.link/9aSHUm1QmEb,Tidak ada temuan,Tidak ada,2023-11-01
9,Jalur DWDM HHR-DCI,https://strava.app.link/18UOmfscoEb,Ada Pekerjaan SPAM Jatiluhur dan Saluran Air Warung Bongkok,Monitoring,2023-11-01
10,Jalur DWDM HHR-KGD,https://strava.app.link/rsKtPeI0nEb,Ada Pekerjaan Saluran dan Jalan Akses depan Shell Jl.Sultan Agung,Monitoring,2023-11-01
11,DCI-TBS,https://strava.app.link/O95FRrh0nEb,Tidak ada temuan,Tidak ada,2023-11-01
12,jalur La pasar cibubur,https://strava.app.link/RnYh0ot6nEb,Tidak ada temuan,Tidak ada,2023-11-02
13,Akses Bank Sinarmas,https://strava.app.link/nffws08aoEb,Tidak ada temuan,Tidak ada,2023-11-02
14,jalur La bts citra indah,https://strava.app.link/x76FHvBeoEb,Tidak ada temuan,Tidak ada,2023-11-02
15,AKSES BTS SG CIKARANG,https://strava.app.link/7l620EcgoEb,Tidak ada temuan,Tidak ada,2023-11-02
16,XCC Bangbarung - XCC Simpang Depok,https://strava.app.link/vuQYSckkoEb,Tidak ada temuan,Tidak ada,2023-11-02
17,AKSES BTS JAGAWANA SUKATANI CIKARANG,https://strava.app.link/djVu7gCkoEb,Tidak ada temuan,Tidak ada,2023-11-02
18,jalur La bts pesona vista,https://strava.app.link/9aG0vAWkoEb,terdapt tiang akses bts di lokasi bengkok dan kabel jg turun,Sudah diperbaiki,2023-11-02
19,Akses Diskominfo Rawa kalong,https://strava.app.link/JdENpYfmoEb,Tidak ada temuan,Tidak ada,2023-11-02
20,jalur La bts madinatul cbn_PL,https://strava.app.link/FGMvj1dnoEb,Tidak ada temuan,Tidak ada,2023-11-02
21,AKSES BTS SUKARUKUN SUKATANI CIKARANG,https://strava.app.link/iNA6PHupoEb,Tidak ada temuan,Tidak ada,2023-11-02
22,jalur La bts rawailat,https://strava.app.link/lFHWwViqoEb,Tidak ada temuan,Tidak ada,2023-11-02
23,AKSES BTS SUKAASIH 2 CIKARANG,https://strava.app.link/XR8O7YrsoEb,Tidak ada temuan,Tidak ada,2023-11-02
24,AKSES BTS SUKAASIH 1 CIKARANG,https://strava.app.link/Osjnsh6xoEb,Tidak ada temuan,Tidak ada,2023-11-02
25,jalur La bts cijantung,https://strava.app.link/uk5icB1KpEb,tiang crosingan di lokasi posisi ny miring,Estimasi tanggal 30 november 2023,2023-11-03
26,XCC Bangbarung - SCC,https://strava.app.link/zKgFmzCQpEb,Tidak ada temuan,Tidak ada,2023-11-03
27,AKSES BTS NARAYANA KARAWANG,https://strava.app.link/ST5XBSVSpEb,Tidak ada temuan,Tidak ada,2023-11-03
28,AKSES BTS PURABAYA KARAWANG,https://strava.app.link/SoSG1w6YpEb,Tidak ada temuan,Tidak ada,2023-11-03
29,jalur La bts kavling kujang,https://strava.app.link/1Wc4VXcZpEb,Tidak ada temuan,Tidak ada,2023-11-03
30,jalur La bts irnusa,https://strava.app.link/DS6KYQu0pEb,Tidak ada temuan,Tidak ada,2023-11-03
31,BTS CBN DUDU,https://strava.app.link/PYJF3Rl1pEb,Terdapat kabel ketarik sama tiang provider lain hang tiangnya miring jalur BB Sentul,"Belum diperbaiki, estimasi tgl 30 diperbaiki",2023-11-03
32,AKSES BTS GALUH MAS KARAWANG,https://strava.app.link/N4C8ewG1pEb,Tidak ada temuan,Tidak ada,2023-11-03
33,BTS Sirkuit Setul,https://strava.app.link/Z5AQ9Xi5pEb,Terdapat kabel ngelendoy sekitar 2 gawang jalur akses bts kadumanggu,menunggu konfirmasi tim DS3,2023-11-03
34,AKSES BTS BABAKAN KARAWANG,https://strava.app.link/o4GFV8W5pEb,Tidak ada temuan,Tidak ada,2023-11-03
35,AKSES BTS TELUKJAMBE KARAWANG,https://strava.app.link/DSaGGF98pEb,Tidak ada temuan,Tidak ada,2023-11-03
36,BTS Kp Gudang Citeureup,https://strava.app.link/Yj3KFbQ9pEb,Tidak ada temuan,Tidak ada,2023-11-03
37,Jalur DWDM HHR-DCI,https://strava.app.link/Td53rV0DqEb,Ada Pekerjaan SPAM Jatiluhur dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-03
38,Jalur DWDM TBS-DCI,https://strava.app.link/DxL2zeWotEb,Ada Pekerjaan Turab Kramat Jati,Monitoring,2023-11-04
39,Jalur DWDM HHR-KGD,https://strava.app.link/DhjOPxYotEb,Ada Pekerjaan Pom Shell Jl Sultan Agung,Monitoring,2023-11-04
40,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Saluran Air Warung Bongkok Cikarang,https://strava.app.link/euVn7nzutEb,Tidak ada temuan,Tidak ada,2023-11-04
41,Jalur DWDM HHR-KGD,https://strava.app.link/DhjOPxYotEb,Ada Pekerjaan Pom Shell Jl Sultan Agung,Monitoring,2023-11-05
42,Jalur DWDM HHR-DCI,https://strava.app.link/CK2fgsqPuEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-05
43,Jalur DWDM TBS-DCI,https://strava.app.link/wo14DSphtEb,Tidak ada temuan,Tidak ada,2023-11-05
44,JALUR LA GTN,https://strava.app.link/x8hLXg9QuEb,Kabel Slackan jatoh dan berantakan di bawah pas di depan pintu 10 jababeka,sudah perapihan,2023-11-06
45,jalur La BB tole Iskandar,https://strava.app.link/lqKhbfnRuEb,Tidak ada temuan,Tidak ada,2023-11-06
46,Jalur DWDM TBS-DCI,https://strava.app.link/Yf1cM3gVuEb,Tidak ada temuan,Tidak ada,2023-11-06
47,jalur La BB pekapuran,https://strava.app.link/SFiIjKn0uEb,Tidak ada temuan,Tidak ada,2023-11-06
48,BB GTN - MKR via kalimalang,https://strava.app.link/862LQKe2uEb,"kabel Turun sepanjang ±100 M di dekat project pelebaran jalan pasirtanjung cikarang pusat.
- Kabel Turun sepanjang ±150M dan udah ketimbun rerumputan karena sudah lama",sudah perapihan,2023-11-06
49,jalur La bi cilangkap,https://strava.app.link/b2s9aSp4uEb,Tidak ada temuan,Tidak ada,2023-11-06
50,XCC Bangbarung - HH depan ekalos,https://strava.app.link/56oHSs75uEb,Tidak ada temuan,Tidak ada,2023-11-06
51,jalur La bi_petikan hh jl raya bogor,https://strava.app.link/KPO5M9v6uEb,Tidak ada temuan,Tidak ada,2023-11-06
52,BB MKR - TARUM,https://strava.app.link/1vJQBxv8uEb,Tidak ada temuan,Tidak ada,2023-11-06
53,HH depan ekalos - ODP depan Ramayana,https://strava.app.link/ucnh6m49uEb,Tidak ada temuan,Tidak ada,2023-11-06
54,Jalur DWDM HHR-DCI,https://strava.app.link/iSCjkJnAwEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-06
55,jalur La xcc cawang_odp cililitan,https://strava.app.link/xAqL6mLqwEb,Tidak ada temuan,Tidak ada,2023-11-07
56,Jalur DWDM HHR-KGD,https://strava.app.link/uJoTta1rwEb,Ada Pekerjaan Pom Shell Jl Sultan Agung,,2023-11-07
57,Akses Bank BJB Cibinong,https://strava.app.link/DPvrboHtwEb,Tidak ada temuan,Tidak ada,2023-11-07
58,jalur La akses danamon condet,https://strava.app.link/ugatyrlvwEb,Tidak ada temuan,Tidak ada,2023-11-07
59,BB MKR - KIIC KARAWANG,https://strava.app.link/o0SDylHAwEb,"DI jalur BB KIIC terdapat Galian Manual Pipa PDAM, Kabel LA dilokasi galian tidak terlihat, Tim sudah koordinasi ke tukang untuk berhati hati terhadap kabel LA",Monitoring,2023-11-07
60,jalur LA bank DKI,https://strava.app.link/dyIDYZWDwEb,Tidak ada temuan,Tidak ada,2023-11-07
61,BB BI PERURI,https://strava.app.link/UOLfljHGwEb,Tidak ada temuan,Tidak ada,2023-11-07
62,Akses PPP TP,https://strava.app.link/Wf6f143GwEb,Tidak ada temuan,Tidak ada,2023-11-07
63,jalur La bts batu Ampar,https://strava.app.link/CV3MjveIwEb,Tidak ada temuan,Tidak ada,2023-11-07
64,Akses Diskominfo PSDA,https://strava.app.link/qqaKP8EIwEb,Tidak ada temuan,Tidak ada,2023-11-07
65,Akses Sharp,https://strava.app.link/IQYrZHjLwEb,Tidak ada temuan,Tidak ada,2023-11-07
